duration,campaign,poutcome,deposit_num
1042,1,unknown,1
1467,1,unknown,1
1389,1,unknown,1
579,1,unknown,1
673,2,unknown,1
562,2,unknown,1
1201,1,unknown,1
1030,1,unknown,1
608,1,unknown,1
1297,3,unknown,1
786,1,unknown,1
1574,2,unknown,1
1689,4,unknown,1
1102,2,unknown,1
943,2,unknown,1
1084,1,unknown,1
541,3,unknown,1
1119,1,unknown,1
1120,2,unknown,1
513,1,unknown,1
442,2,unknown,1
756,1,unknown,1
2087,2,unknown,1
1120,2,unknown,1
985,2,unknown,1
617,4,unknown,1
483,3,unknown,1
929,3,unknown,1
538,1,unknown,1
710,1,unknown,1
653,1,unknown,1
1028,2,unknown,1
654,1,unknown,1
1692,2,unknown,1
665,2,unknown,1
757,2,unknown,1
504,4,unknown,1
1346,1,unknown,1
568,4,unknown,1
395,2,unknown,1
1015,1,unknown,1
683,2,unknown,1
470,1,unknown,1
1001,4,unknown,1
845,1,unknown,1
945,2,unknown,1
1721,2,unknown,1
942,3,unknown,1
476,1,unknown,1
832,1,unknown,1
1553,1,unknown,1
1328,1,unknown,1
1125,2,unknown,1
858,1,unknown,1
629,2,unknown,1
704,1,unknown,1
760,1,unknown,1
930,1,unknown,1
1028,2,unknown,1
850,2,unknown,1
927,1,unknown,1
1423,3,unknown,1
1162,4,unknown,1
755,1,unknown,1
695,1,unknown,1
483,1,unknown,1
520,2,unknown,1
920,2,unknown,1
500,1,unknown,1
911,2,unknown,1
920,2,unknown,1
1224,2,unknown,1
1156,2,unknown,1
1052,1,unknown,1
1867,6,unknown,1
515,1,unknown,1
813,1,unknown,1
676,1,unknown,1
1143,3,unknown,1
688,1,unknown,1
803,1,unknown,1
619,2,unknown,1
767,2,unknown,1
912,1,unknown,1
1340,1,unknown,1
897,1,unknown,1
1297,3,unknown,1
1193,5,unknown,1
1064,4,unknown,1
1187,4,unknown,1
882,1,unknown,1
943,2,unknown,1
607,1,unknown,1
1022,4,unknown,1
552,3,unknown,1
1622,2,unknown,1
967,6,unknown,1
579,5,unknown,1
446,1,unknown,1
1205,1,unknown,1
1882,2,unknown,1
1334,1,unknown,1
182,2,unknown,1
1777,1,unknown,1
1182,4,unknown,1
1045,1,unknown,1
650,3,unknown,1
1063,2,unknown,1
843,2,unknown,1
1392,2,unknown,1
565,1,unknown,1
905,1,unknown,1
783,2,unknown,1
958,2,unknown,1
412,1,unknown,1
795,1,unknown,1
649,2,unknown,1
506,2,unknown,1
857,1,unknown,1
1681,1,unknown,1
1697,2,unknown,1
860,2,unknown,1
799,1,unknown,1
923,3,unknown,1
521,3,unknown,1
1349,8,unknown,1
736,2,unknown,1
785,1,unknown,1
1030,1,unknown,1
893,3,unknown,1
588,3,unknown,1
597,6,unknown,1
1015,3,unknown,1
1392,2,unknown,1
414,2,unknown,1
788,11,unknown,1
682,1,unknown,1
679,2,unknown,1
1560,2,unknown,1
1234,3,unknown,1
642,2,unknown,1
895,4,unknown,1
431,2,unknown,1
741,6,unknown,1
1272,4,unknown,1
748,3,unknown,1
896,3,unknown,1
764,2,unknown,1
1063,5,unknown,1
1051,1,unknown,1
731,3,unknown,1
751,1,unknown,1
709,1,unknown,1
3094,2,unknown,1
938,2,unknown,1
1560,2,unknown,1
576,3,unknown,1
543,2,unknown,1
615,2,unknown,1
507,1,unknown,1
1183,1,unknown,1
864,2,unknown,1
1730,1,unknown,1
560,9,unknown,1
543,1,unknown,1
539,1,unknown,1
791,2,unknown,1
746,1,unknown,1
1207,1,unknown,1
535,2,unknown,1
