duration,campaign,poutcome
1042,1,unknown
1467,1,unknown
1389,1,unknown
579,1,unknown
673,2,unknown
562,2,unknown
1201,1,unknown
1030,1,unknown
608,1,unknown
1297,3,unknown
786,1,unknown
1574,2,unknown
1689,4,unknown
1102,2,unknown
943,2,unknown
1084,1,unknown
541,3,unknown
1119,1,unknown
1120,2,unknown
513,1,unknown
442,2,unknown
756,1,unknown
2087,2,unknown
1120,2,unknown
985,2,unknown
617,4,unknown
483,3,unknown
929,3,unknown
538,1,unknown
710,1,unknown
653,1,unknown
1028,2,unknown
654,1,unknown
1692,2,unknown
665,2,unknown
757,2,unknown
504,4,unknown
1346,1,unknown
568,4,unknown
395,2,unknown
1015,1,unknown
683,2,unknown
470,1,unknown
1001,4,unknown
845,1,unknown
945,2,unknown
1721,2,unknown
942,3,unknown
476,1,unknown
832,1,unknown
1553,1,unknown
1328,1,unknown
1125,2,unknown
858,1,unknown
629,2,unknown
704,1,unknown
760,1,unknown
930,1,unknown
1028,2,unknown
850,2,unknown
927,1,unknown
1423,3,unknown
1162,4,unknown
755,1,unknown
695,1,unknown
483,1,unknown
520,2,unknown
920,2,unknown
500,1,unknown
911,2,unknown
920,2,unknown
1224,2,unknown
1156,2,unknown
1052,1,unknown
1867,6,unknown
515,1,unknown
813,1,unknown
676,1,unknown
1143,3,unknown
688,1,unknown
803,1,unknown
619,2,unknown
767,2,unknown
912,1,unknown
1340,1,unknown
897,1,unknown
1297,3,unknown
1193,5,unknown
1064,4,unknown
1187,4,unknown
882,1,unknown
943,2,unknown
607,1,unknown
1022,4,unknown
552,3,unknown
1622,2,unknown
967,6,unknown
579,5,unknown
446,1,unknown
1205,1,unknown
1882,2,unknown
1334,1,unknown
182,2,unknown
1777,1,unknown
1182,4,unknown
1045,1,unknown
650,3,unknown
1063,2,unknown
843,2,unknown
1392,2,unknown
565,1,unknown
905,1,unknown
783,2,unknown
958,2,unknown
412,1,unknown
795,1,unknown
649,2,unknown
506,2,unknown
857,1,unknown
1681,1,unknown
1697,2,unknown
860,2,unknown
799,1,unknown
923,3,unknown
521,3,unknown
1349,8,unknown
736,2,unknown
785,1,unknown
1030,1,unknown
893,3,unknown
588,3,unknown
597,6,unknown
1015,3,unknown
1392,2,unknown
414,2,unknown
788,11,unknown
682,1,unknown
679,2,unknown
1560,2,unknown
1234,3,unknown
642,2,unknown
895,4,unknown
431,2,unknown
741,6,unknown
1272,4,unknown
748,3,unknown
896,3,unknown
764,2,unknown
1063,5,unknown
1051,1,unknown
731,3,unknown
751,1,unknown
709,1,unknown
3094,2,unknown
938,2,unknown
1560,2,unknown
576,3,unknown
543,2,unknown
615,2,unknown
507,1,unknown
1183,1,unknown
864,2,unknown
1730,1,unknown
560,9,unknown
543,1,unknown
539,1,unknown
791,2,unknown
746,1,unknown
1207,1,unknown
535,2,unknown
789,3,unknown
792,3,unknown
833,2,unknown
814,2,unknown
1363,2,unknown
1109,3,unknown
828,3,unknown
917,1,unknown
762,3,unknown
1133,2,unknown
638,1,unknown
763,1,unknown
604,2,unknown
854,2,unknown
855,2,unknown
1269,1,unknown
691,10,unknown
1097,15,unknown
1236,2,unknown
886,3,unknown
1343,3,unknown
812,3,unknown
1980,2,unknown
984,2,unknown
228,2,unknown
891,4,unknown
745,12,unknown
539,12,unknown
1044,5,unknown
1193,2,unknown
526,2,unknown
394,1,unknown
659,2,unknown
1036,1,unknown
815,1,unknown
563,1,unknown
1068,1,unknown
230,3,unknown
747,2,unknown
671,5,unknown
555,5,unknown
777,4,unknown
707,14,unknown
432,4,unknown
1173,3,unknown
963,2,unknown
941,3,unknown
1025,7,unknown
732,2,unknown
1045,3,unknown
768,1,unknown
801,1,unknown
482,2,unknown
2456,2,unknown
1363,7,unknown
1336,4,unknown
633,1,unknown
524,15,unknown
578,1,unknown
984,2,unknown
638,1,unknown
767,2,unknown
525,2,unknown
563,1,unknown
1449,6,unknown
920,1,unknown
908,1,unknown
208,1,unknown
910,2,unknown
1446,1,unknown
1149,2,unknown
1123,1,unknown
508,2,unknown
736,2,unknown
590,3,unknown
636,1,unknown
701,1,unknown
761,2,unknown
1558,1,unknown
1053,2,unknown
562,15,unknown
494,5,unknown
1018,3,unknown
884,4,unknown
709,5,unknown
1276,2,unknown
381,2,unknown
862,11,unknown
460,4,unknown
467,3,unknown
648,2,unknown
2653,3,unknown
1085,1,unknown
369,2,unknown
685,3,unknown
1055,10,unknown
882,1,unknown
901,1,unknown
700,1,unknown
491,6,unknown
940,1,unknown
3881,3,unknown
486,3,unknown
1137,3,unknown
878,3,unknown
583,4,unknown
1159,4,unknown
893,8,unknown
867,1,unknown
706,1,unknown
1199,1,unknown
935,1,unknown
586,1,unknown
967,2,unknown
595,2,unknown
1290,2,unknown
614,2,unknown
885,1,unknown
651,5,unknown
993,6,unknown
577,2,unknown
1141,6,unknown
1268,2,unknown
1243,7,unknown
465,3,unknown
513,2,unknown
686,11,unknown
741,4,unknown
617,1,unknown
1093,1,unknown
1395,2,unknown
1089,1,unknown
1248,3,unknown
721,3,unknown
750,2,unknown
637,6,unknown
2769,4,unknown
556,1,unknown
522,1,unknown
1345,3,unknown
676,2,unknown
775,3,unknown
2621,3,unknown
1029,1,unknown
371,2,unknown
1528,2,unknown
1540,1,unknown
973,1,unknown
707,1,unknown
625,2,unknown
1255,1,unknown
704,4,unknown
1574,3,unknown
1135,4,unknown
1007,1,unknown
1318,3,unknown
922,2,unknown
585,1,unknown
952,4,unknown
834,1,unknown
651,3,unknown
683,3,unknown
1012,1,unknown
958,7,unknown
973,2,unknown
911,1,unknown
382,7,unknown
1210,1,unknown
838,1,unknown
422,1,unknown
1098,2,unknown
1663,1,unknown
560,3,unknown
1617,1,unknown
570,2,unknown
1023,3,unknown
585,2,unknown
693,3,unknown
546,10,unknown
1036,5,unknown
1409,2,unknown
988,4,unknown
498,2,unknown
670,3,unknown
662,2,unknown
528,2,unknown
519,3,unknown
677,3,unknown
3183,2,unknown
422,6,unknown
856,2,unknown
479,9,unknown
1135,2,unknown
650,2,unknown
587,3,unknown
676,1,unknown
584,1,unknown
1044,3,unknown
494,4,unknown
615,2,unknown
718,2,unknown
434,3,unknown
782,1,unknown
722,3,unknown
621,2,unknown
629,2,unknown
385,5,unknown
889,1,unknown
532,1,unknown
574,1,unknown
599,1,unknown
849,1,unknown
973,3,unknown
719,2,unknown
509,4,unknown
740,1,unknown
534,1,unknown
531,1,unknown
634,1,unknown
460,3,unknown
681,1,unknown
1082,1,unknown
730,1,unknown
716,5,unknown
803,2,unknown
635,1,unknown
819,3,unknown
658,2,unknown
1061,4,unknown
